iter	Passed	Remaining
946	11433	639
947	11448	627
948	11462	615
949	11474	603
950	11487	591
951	11501	579
952	11518	568
953	11533	556
954	11546	544
955	11559	532
956	11573	520
957	11587	507
958	11601	496
959	11615	483
960	11630	471
961	11644	459
962	11658	447
963	11671	435
964	11684	423
965	11695	411
966	11708	399
967	11719	387
968	11730	375
969	11743	363
970	11757	351
971	11773	339
972	11785	327
973	11796	314
974	11808	302
975	11820	290
976	11830	278
977	11840	266
978	11852	254
979	11864	242
980	11876	230
981	11888	217
982	11899	205
983	11909	193
984	11922	181
985	11933	169
986	11944	157
987	11956	145
988	11966	133
989	11977	120
990	11988	108
991	11997	96
992	12008	84
993	12020	72
994	12030	60
995	12040	48
996	12050	36
997	12061	24
998	12072	12
999	12084	0
